epoch,timestamp,operations,operations-delta,operations/second
1616751453.16,26/03/2021 12:37:33,3645521,24550,24550
1616751454.16,26/03/2021 12:37:34,3669250,23729,23729
1616751455.16,26/03/2021 12:37:35,3693344,24094,24094
1616751456.161,26/03/2021 12:37:36,3717369,24025,24000.999
1616751457.161,26/03/2021 12:37:37,3741342,23973,23973
1616751458.161,26/03/2021 12:37:38,3764710,23368,23368
1616751459.161,26/03/2021 12:37:39,3788296,23586,23586
1616751460.161,26/03/2021 12:37:40,3812061,23765,23765
1616751461.161,26/03/2021 12:37:41,3835944,23883,23883
1616751462.161,26/03/2021 12:37:42,3859870,23926,23926
1616751463.161,26/03/2021 12:37:43,3883934,24064,24064
1616751464.161,26/03/2021 12:37:44,3907822,23888,23888
1616751465.161,26/03/2021 12:37:45,3931622,23800,23800
1616751466.162,26/03/2021 12:37:46,3955097,23475,23451.548
1616751467.162,26/03/2021 12:37:47,3978602,23505,23505
1616751468.162,26/03/2021 12:37:48,4002488,23886,23886
1616751469.162,26/03/2021 12:37:49,4026250,23762,23762
1616751470.162,26/03/2021 12:37:50,4049995,23745,23745
1616751471.162,26/03/2021 12:37:51,4072388,22393,22393
1616751472.162,26/03/2021 12:37:52,4095920,23532,23532
1616751473.162,26/03/2021 12:37:53,4119693,23773,23773
1616751474.162,26/03/2021 12:37:54,4143905,24212,24212
1616751475.162,26/03/2021 12:37:55,4167581,23676,23676
1616751476.163,26/03/2021 12:37:56,4190872,23291,23267.732
1616751477.163,26/03/2021 12:37:57,4214426,23554,23554
1616751478.163,26/03/2021 12:37:58,4237804,23378,23378
1616751479.163,26/03/2021 12:37:59,4261576,23772,23772
1616751480.163,26/03/2021 12:38:00,4285139,23563,23563
1616751481.163,26/03/2021 12:38:01,4308843,23704,23704
1616751482.163,26/03/2021 12:38:02,4332313,23470,23470
1616751483.164,26/03/2021 12:38:03,4355399,23086,23062.937
1616751484.164,26/03/2021 12:38:04,4378981,23582,23582
1616751485.164,26/03/2021 12:38:05,4402540,23559,23559
1616751486.164,26/03/2021 12:38:06,4426448,23908,23908
1616751487.164,26/03/2021 12:38:07,4450336,23888,23888
1616751488.164,26/03/2021 12:38:08,4473919,23583,23583
1616751489.164,26/03/2021 12:38:09,4498217,24298,24298
1616751490.164,26/03/2021 12:38:10,4521511,23294,23294
1616751491.164,26/03/2021 12:38:11,4545433,23922,23922
1616751492.165,26/03/2021 12:38:12,4569156,23723,23699.301
1616751493.165,26/03/2021 12:38:13,4592261,23105,23105
1616751494.165,26/03/2021 12:38:14,4615958,23697,23697
1616751495.165,26/03/2021 12:38:15,4638850,22892,22892
1616751496.165,26/03/2021 12:38:16,4662023,23173,23173
1616751497.165,26/03/2021 12:38:17,4685721,23698,23698
1616751498.165,26/03/2021 12:38:18,4709738,24017,24017
1616751499.165,26/03/2021 12:38:19,4733546,23808,23808
1616751500.165,26/03/2021 12:38:20,4756974,23428,23428
1616751501.165,26/03/2021 12:38:21,4780389,23415,23415
1616751502.166,26/03/2021 12:38:22,4803971,23582,23558.442
1616751503.166,26/03/2021 12:38:23,4827651,23680,23680
1616751504.166,26/03/2021 12:38:24,4851678,24027,24027
1616751505.166,26/03/2021 12:38:25,4875345,23667,23667
1616751506.166,26/03/2021 12:38:26,4898774,23429,23429
1616751507.166,26/03/2021 12:38:27,4922649,23875,23875
1616751508.166,26/03/2021 12:38:28,4946352,23703,23703
1616751509.166,26/03/2021 12:38:29,4970808,24456,24456
1616751510.166,26/03/2021 12:38:30,4994702,23894,23894
1616751511.166,26/03/2021 12:38:31,5018763,24061,24061
1616751512.167,26/03/2021 12:38:32,5042628,23865,23841.159
1616751513.167,26/03/2021 12:38:33,5065941,23313,23313
1616751514.167,26/03/2021 12:38:34,5089821,23880,23880
1616751515.167,26/03/2021 12:38:35,5113484,23663,23663
1616751516.167,26/03/2021 12:38:36,5137349,23865,23865
1616751517.167,26/03/2021 12:38:37,5161385,24036,24036
1616751518.167,26/03/2021 12:38:38,5185155,23770,23770
1616751519.167,26/03/2021 12:38:39,5208767,23612,23612
1616751520.167,26/03/2021 12:38:40,5232642,23875,23875
1616751521.168,26/03/2021 12:38:41,5256400,23758,23734.266
1616751522.168,26/03/2021 12:38:42,5280128,23728,23728
1616751523.168,26/03/2021 12:38:43,5303987,23859,23859
1616751524.168,26/03/2021 12:38:44,5327576,23589,23589
1616751525.168,26/03/2021 12:38:45,5351453,23877,23877
1616751526.168,26/03/2021 12:38:46,5375331,23878,23878
1616751527.168,26/03/2021 12:38:47,5399294,23963,23963
1616751528.168,26/03/2021 12:38:48,5423192,23898,23898
1616751529.168,26/03/2021 12:38:49,5447176,23984,23984
1616751530.169,26/03/2021 12:38:50,5470890,23714,23690.31
1616751531.169,26/03/2021 12:38:51,5494695,23805,23805
1616751532.169,26/03/2021 12:38:52,5518357,23662,23662
1616751533.169,26/03/2021 12:38:53,5542193,23836,23836
1616751534.169,26/03/2021 12:38:54,5566322,24129,24129
